name,url,star,comment,avg_price,taste,environment,services,recommend
街儿巷小郡肝串串香火锅(人民广场店),http://www.dianping.com/shop/114872528,准五星商户,423,108,8.6,8,8.5,"小郡肝,香菜牛肉,麻辣牛肉"
海底捞火锅(青浦宝龙店),http://www.dianping.com/shop/126576249,五星商户,281,132,9,9.1,9.1,"番茄锅底,招牌虾滑,捞派毛肚"
上上谦串串香火锅(徐汇旗舰店),http://www.dianping.com/shop/8905535,五星商户,6740,128,9,9,9.1,"自制芝士虾滑,串串虾,秘制牛肉签"
海底捞火锅(巴黎春天浦建店),http://www.dianping.com/shop/15857909,五星商户,5046,142,9.2,9.2,9.3,"招牌虾滑,番茄锅底,功夫面"
海底捞火锅(新松江城店),http://www.dianping.com/shop/95127273,五星商户,2101,131,9.2,9.3,9.3,"番茄锅,招牌虾滑,捞派澳洲肥牛"
大龙燚火锅(天钥桥路店),http://www.dianping.com/shop/101924215,准五星商户,153,148,8.6,8.5,8.1,"牛排,大龙燚千层肚,鸳鸯锅"
尚海豆捞(乐虹坊店),http://www.dianping.com/shop/122069254,五星商户,249,229,9.3,9.3,9.1,"深水虾,龙趸,油条"
辣府肉铺圌·牛排火锅(嘉善路店),http://www.dianping.com/shop/127840353,五星商户,148,132,9,8.9,8.7,"火锅牛排,酥肉,dangdang鲜鸭血"
洋房火锅(新天地店),http://www.dianping.com/shop/8844957,五星商户,4153,977,9.2,9.3,9.3,"松茸汤底,顶级黑毛和牛,煎极品牛肉粒"
山海精蟹粉火锅,http://www.dianping.com/shop/110112999,五星商户,726,422,9.2,9,9,"蟹粉火锅,加拿大象拔蚌,严选雪花牛肉"
鼎王无老锅(衡山路店),http://www.dianping.com/shop/8717558,五星商户,10166,173,8.9,9.1,9,"冰激凌豆腐,面包豆腐白汤锅,招牌鸳鸯锅"
海底捞火锅(逸仙路店),http://www.dianping.com/shop/2481838,五星商户,8569,129,8.8,9,9.2,"功夫面,翠墨鱼滑,精品肥牛"
海底捞火锅(静安大融城店),http://www.dianping.com/shop/110776326,五星商户,903,135,9,9.1,9.1,"番茄锅底,招牌虾滑,无刺巴沙鱼片"
香满楼 海鲜肥牛火锅,http://www.dianping.com/shop/125281822,五星商户,49,259,9,9.1,9.1,"招牌走地鸡煲花胶汤底,三色牛肉船,斑节虾"
